"Name","Profession","Company","Food and beverage category","Brands","Ethnicity","Age","Links","Notes"
"Abdulmajid, Iman","Model","Milk PEP","Dairy","Got Milk","BFE","60.0","http://thumbs4.ebaystatic.com/d/l225/m/mw8PkeG4poDlwFjHsA69DaQ.jpg","NA"
"Adams, William ""will.i.am""","Musician","TCCC","SSB","Coca-Cola","BME","41.0","http://www.huffingtonpost.com/entry/celebrities-endorse-unhealthy-foods_us_57559f8ce4b0ed593f14f7b6","NA"
"Adams, William ""will.i.am""","Musician","PepsiCo","Salty","Doritos","BME","41.0","http://www.huffingtonpost.com/entry/celebrities-endorse-unhealthy-foods_us_57559f8ce4b0ed593f14f7b6","NA"
"Adams, William ""will.i.am""","Musician","Dr Pepper Snapple Group","SSB","Dr Pepper","BME","41.0","http://www.huffingtonpost.com/entry/celebrities-endorse-unhealthy-foods_us_57559f8ce4b0ed593f14f7b6","NA"
"Adams, William ""will.i.am""","Musician","PepsiCo","SSB","Pepsi","BME","41.0","http://www.huffingtonpost.com/entry/celebrities-endorse-unhealthy-foods_us_57559f8ce4b0ed593f14f7b6","NA"
"Agdal, Nina","Model","CKE Restaurants","QSR","Carl's Jr","WFE","23.0","http://www.allure.com/beauty-trends/blogs/daily-beauty-reporter/2013/02/allure-exclusive-model-nina-agdal-superbowl-hardees-carls-jr-commercial.html","NA"
"Aguilera, Christina","Musician","PepsiCo","SSB","Pepsi","WFE","34.0","https://www.youtube.com/watch?v=Rhnclq6pz34","NA"
"Aguilera, Christina","Musician","TCCC","SSB","Coca-Cola","WFE","34.0","https://www.youtube.com/watch?v=wRWr09HhGq4","NA"
"Akintimehin, Olubowale Victor ""Wale""","Musician","TCCC","SSB","Sprite","BME","31.0","https://www.youtube.com/watch?v=W3B_hoMf3Fw","NA"
"Alba, Jessica","Actress","Milk PEP","Dairy","Got Milk","MFE","34.0","http://www.bambootrading.com/1700-1/1700-29.JPG","NA"
